epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.556,0.65819,3.62226,1.14123,0.16502,0.25816,0.20753,0.1986,0.3295,11.444,0.88122,8.125e-05,8.125e-05,8.125e-05
2,325.337,0.59327,2.24207,1.10554,0.70694,0.56254,0.7278,0.69521,0.31443,3.02807,0.86464,0.000167079,0.000167079,0.000167079
3,482.215,0.57697,1.76275,1.06141,0.77008,0.77127,0.88629,0.82432,0.39057,2.31133,0.901,0.000251176,0.000251176,0.000251176
4,636.088,0.59057,1.52719,1.04623,0.84273,0.7094,0.80907,0.73628,0.48142,2.2259,0.96041,0.000333541,0.000333541,0.000333541
5,792.984,0.64628,1.34056,1.06371,0.67575,0.74797,0.7232,0.56572,0.82546,4.92074,1.24426,0.000414172,0.000414172,0.000414172
6,944.655,0.75451,1.33767,1.19434,0.46123,0.5832,0.55023,0.45175,0.7481,10.739,1.2444,0.000493072,0.000493072,0.000493072
7,1089.61,0.7064,1.35119,1.09528,0.59794,0.69273,0.66246,0.53823,0.68736,2.87095,1.09396,0.000570239,0.000570239,0.000570239
8,1235.33,0.70191,1.31922,1.07465,0.73621,0.81601,0.89104,0.75603,0.59918,3.36383,1.0906,0.000581687,0.000581687,0.000581687
9,1381.02,0.8101,1.24602,1.24422,0.82111,0.90692,0.92289,0.76483,0.57199,2.43581,1.00611,0.0005755,0.0005755,0.0005755
10,1533.89,0.61221,1.23192,1.06315,0.67993,0.7512,0.78541,0.62681,0.65396,4.23235,1.03732,0.000569313,0.000569313,0.000569313
11,1687.89,0.71468,1.15981,1.14641,0.70233,0.70262,0.72343,0.57047,0.71817,2.99028,1.07657,0.000563125,0.000563125,0.000563125
12,1841.2,0.68794,1.15316,1.10076,0.69429,0.53871,0.63518,0.54117,0.61226,3.99422,1.08704,0.000556938,0.000556938,0.000556938
13,1992.43,0.67291,1.00693,1.08565,0.81008,0.76934,0.78383,0.6835,0.52576,2.50103,1.01564,0.00055075,0.00055075,0.00055075
14,2143.35,0.59558,0.90226,1.03336,0.85614,0.86224,0.87639,0.79153,0.47709,1.02782,0.91997,0.000544563,0.000544563,0.000544563
15,2293.88,0.62073,0.90735,1.03657,0.69104,0.71112,0.77137,0.67238,0.5484,1.40731,0.99022,0.000538375,0.000538375,0.000538375
