epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6831.13,0.55332,0.64234,1.00557,0.97511,0.87628,0.97362,0.90698,0.39381,0.4871,0.89946,0.000582719,0.000582719,0.000582719
43,7026.62,0.5671,0.60739,1.04333,0.98809,0.95521,0.995,0.93128,0.37676,0.38485,0.88185,0.000581687,0.000581687,0.000581687
44,7225.64,0.60853,0.661,1.05515,0.8721,0.86643,0.93601,0.87743,0.40169,0.77626,0.89261,0.000580656,0.000580656,0.000580656
45,7430.7,0.59374,0.63948,1.03062,0.94514,0.87358,0.98294,0.92202,0.35006,0.47505,0.87352,0.000579625,0.000579625,0.000579625
46,7638.74,0.71464,0.63965,1.29522,0.97967,0.93157,0.99167,0.92228,0.37872,0.39559,0.88589,0.000578594,0.000578594,0.000578594
47,7845.92,0.5874,0.64648,1.04583,0.9783,0.94364,0.99153,0.89625,0.41612,0.42731,0.8985,0.000577563,0.000577563,0.000577563
48,8050.45,0.56408,0.64511,0.97981,0.95718,0.89666,0.96139,0.86836,0.45204,0.50652,0.91772,0.000576531,0.000576531,0.000576531
49,8252.01,0.74836,0.79478,1.14923,0.95508,0.89703,0.94336,0.86903,0.39846,0.60994,0.905,0.0005755,0.0005755,0.0005755
50,8446.03,0.61624,0.67064,1.05581,0.88269,0.91186,0.9771,0.91022,0.38793,0.55743,0.88864,0.000574469,0.000574469,0.000574469
51,8644.04,0.57782,0.69232,1.02996,0.99151,0.87361,0.97883,0.91153,0.37171,0.47148,0.8821,0.000573438,0.000573438,0.000573438
52,8842.38,0.58799,0.67961,1.03147,0.951,0.94697,0.98854,0.9263,0.3585,0.3785,0.8792,0.000572406,0.000572406,0.000572406
53,9050.48,0.55848,0.6238,1.0017,0.9625,0.99418,0.97889,0.91147,0.36103,0.35636,0.87907,0.000571375,0.000571375,0.000571375
54,9259.19,0.6431,0.66047,1.08659,0.98482,0.92378,0.97776,0.9034,0.40779,0.3924,0.90804,0.000570344,0.000570344,0.000570344
55,9468.31,0.57608,0.62452,1.02238,0.95841,0.94354,0.98792,0.91918,0.41596,0.43098,0.90935,0.000569313,0.000569313,0.000569313
56,9672.68,0.56602,0.59501,1.03975,0.93329,0.9161,0.99086,0.90145,0.43983,0.47511,0.91322,0.000568281,0.000568281,0.000568281
