epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1306.46,0.51411,0.83407,0.9319,0.96915,0.93484,0.98029,0.93473,0.34512,0.85544,0.85796,0.000582719,0.000582719,0.000582719
43,1342.41,0.51473,0.78829,0.9719,0.94279,0.92376,0.98242,0.94209,0.33221,0.91009,0.85199,0.000581687,0.000581687,0.000581687
44,1379.16,0.54125,0.82319,0.97796,0.8513,0.91957,0.9566,0.89914,0.35651,0.99375,0.86241,0.000580656,0.000580656,0.000580656
45,1414.66,0.51001,0.77588,0.94318,0.97956,0.97467,0.995,0.93861,0.35588,0.73729,0.86187,0.000579625,0.000579625,0.000579625
46,1450.33,0.62557,0.96424,1.09357,0.98128,0.96218,0.99317,0.95658,0.32393,0.73133,0.85501,0.000578594,0.000578594,0.000578594
47,1486.29,0.58188,0.8372,0.97429,0.96839,0.96327,0.98815,0.9235,0.39067,0.77126,0.87883,0.000577563,0.000577563,0.000577563
48,1521.96,0.51497,0.95621,0.88678,0.98227,0.96905,0.98944,0.8495,0.57912,0.87025,0.99279,0.000576531,0.000576531,0.000576531
49,1556.28,0.76532,0.92865,1.13312,0.96156,0.97996,0.99375,0.92673,0.37494,0.72969,0.87755,0.0005755,0.0005755,0.0005755
50,1591.21,0.53726,0.76265,0.97022,0.95366,0.96705,0.9886,0.92754,0.38557,0.70333,0.8715,0.000574469,0.000574469,0.000574469
51,1628.33,0.5209,0.8126,0.95182,0.95536,0.93648,0.97326,0.92131,0.36804,0.69834,0.86817,0.000573438,0.000573438,0.000573438
52,1664.03,0.54366,0.72003,0.9402,0.94412,0.9504,0.99047,0.93336,0.36998,0.65202,0.86473,0.000572406,0.000572406,0.000572406
53,1700.73,0.50393,0.66623,0.9233,0.97016,0.93687,0.99153,0.94048,0.33359,0.62669,0.85853,0.000571375,0.000571375,0.000571375
54,1737.55,0.58147,0.76442,0.99428,0.96052,0.9768,0.99317,0.94349,0.33151,0.63847,0.86045,0.000570344,0.000570344,0.000570344
55,1774.25,0.52027,0.69727,0.93738,0.938,0.97491,0.99278,0.9518,0.3231,0.64231,0.85397,0.000569313,0.000569313,0.000569313
56,1811.08,0.52145,0.66836,0.9619,0.95293,0.96073,0.99278,0.94685,0.33957,0.63977,0.85937,0.000568281,0.000568281,0.000568281
57,1847.85,0.51408,0.69418,0.93987,0.95658,0.98943,0.995,0.94978,0.31976,0.61612,0.85651,0.00056725,0.00056725,0.00056725
58,1884.96,0.52071,0.70188,0.9756,0.9653,0.96711,0.995,0.93937,0.3402,0.60698,0.85689,0.000566219,0.000566219,0.000566219
59,1921.3,0.52089,0.65099,0.95468,0.93122,0.99524,0.9925,0.94252,0.34632,0.60199,0.86162,0.000565188,0.000565188,0.000565188
60,1959.1,0.52532,0.64626,0.96793,0.97391,0.97533,0.995,0.94403,0.33822,0.55787,0.86172,0.000564156,0.000564156,0.000564156
61,1996.56,0.50275,0.61868,0.93338,0.97151,0.98453,0.995,0.94615,0.34761,0.54894,0.86348,0.000563125,0.000563125,0.000563125
62,2034.17,0.47737,0.69329,0.94025,0.90983,0.93353,0.96765,0.90821,0.34661,0.74476,0.86268,0.000562094,0.000562094,0.000562094
